movie,type,word,minutes_in
Reservoir Dogs,word,d**k,0.40
Reservoir Dogs,word,d***s,0.43
Reservoir Dogs,word,f****d,0.55
Reservoir Dogs,word,f*****g,0.61
Reservoir Dogs,word,b******t,0.61
Reservoir Dogs,word,f**k,0.66
Reservoir Dogs,word,s**t,0.90
Reservoir Dogs,word,f**k,1.43
Reservoir Dogs,word,d***s,1.56
Reservoir Dogs,word,f**k,1.66
Reservoir Dogs,word,d**k,1.75
Reservoir Dogs,word,d**k,1.75
Reservoir Dogs,word,d**k,1.75
Reservoir Dogs,word,d**k,1.75
Reservoir Dogs,word,d**k,1.75
Reservoir Dogs,word,d**k,1.75
Reservoir Dogs,word,d**k,1.75
Reservoir Dogs,word,d***s,1.75
Reservoir Dogs,word,m**********r,1.83
Reservoir Dogs,word,d**k,1.96
Reservoir Dogs,word,p***y,2.15
Reservoir Dogs,word,f***s,2.18
Reservoir Dogs,word,f**k,2.30
Reservoir Dogs,word,f*****g,2.45
Reservoir Dogs,word,h**l,2.48
Reservoir Dogs,word,f*****g,2.51
Reservoir Dogs,word,f*****g,2.81
Reservoir Dogs,word,d**k,2.86
Reservoir Dogs,word,j*p,2.93
Reservoir Dogs,word,f**k,3.05
Reservoir Dogs,word,s**t,3.20
Reservoir Dogs,word,f*****g,3.40
Reservoir Dogs,word,f*****g,3.55
Reservoir Dogs,word,f*****g,3.70
Reservoir Dogs,word,m**********r,3.93
Reservoir Dogs,word,m**********r,3.98
Reservoir Dogs,word,s**t,4.35
Reservoir Dogs,word,s**t,4.76
Reservoir Dogs,word,f*****g,4.86
Reservoir Dogs,word,d**k,5.25
Reservoir Dogs,word,f*****g,5.41
Reservoir Dogs,word,f*****g,5.51
Reservoir Dogs,word,f*****g,5.55
Reservoir Dogs,word,f*****g,5.61
Reservoir Dogs,word,b******t,6.23
Reservoir Dogs,word,f**k,6.46
Reservoir Dogs,word,f****d,6.58
Reservoir Dogs,word,f***s,6.66
Reservoir Dogs,word,b******t,6.81
Reservoir Dogs,word,f*****g,6.86
Reservoir Dogs,word,f*****g,6.73
Reservoir Dogs,word,b*****d,7.38
Reservoir Dogs,word,g*****n,7.41
Reservoir Dogs,word,g*****n,7.58
Reservoir Dogs,word,s**t,9.63
Reservoir Dogs,word,f*****g,9.96
Reservoir Dogs,word,s**t,10.01
Reservoir Dogs,word,f*****g,10.08
Reservoir Dogs,word,s**t,10.26
Reservoir Dogs,word,g*****n,11.13
Reservoir Dogs,word,f*****g,11.13
Reservoir Dogs,word,f*****g,11.85
Reservoir Dogs,word,f*****g,12.06
Reservoir Dogs,word,f*****g,12.08
Reservoir Dogs,word,f*****g,12.43
Reservoir Dogs,word,f*****g,12.45
Reservoir Dogs,word,f*****g,12.90
Reservoir Dogs,word,f*****g,13.73
Reservoir Dogs,word,f**k,14.38
Reservoir Dogs,word,f*****g,14.66
Reservoir Dogs,word,f*****g,14.95
Reservoir Dogs,word,f*****g,15.38
Reservoir Dogs,word,f*****g,15.41
Reservoir Dogs,word,s**t,15.45
Reservoir Dogs,word,f**k,15.51
Reservoir Dogs,word,f**k,15.65
Reservoir Dogs,word,f*****g,15.75
Reservoir Dogs,word,f****d,15.86
Reservoir Dogs,word,f****d,15.88
Reservoir Dogs,word,f****d,15.93
Reservoir Dogs,word,f**k,16.45
Reservoir Dogs,word,m***********s,16.60
Reservoir Dogs,word,f*****g,16.65
Reservoir Dogs,word,f**k,16.75
Reservoir Dogs,word,f*****g,16.86
Reservoir Dogs,word,f*****g,17.56
Reservoir Dogs,word,f**k,17.63
Reservoir Dogs,word,f*****g,17.75
Reservoir Dogs,word,f*****g,17.95
Reservoir Dogs,word,f*****g,18.00
Reservoir Dogs,word,s**t,20.13
Reservoir Dogs,word,f*****g,20.16
Reservoir Dogs,word,f**k,20.68
Reservoir Dogs,word,f**k,20.73
Reservoir Dogs,word,f**k,20.93
Reservoir Dogs,word,f*****g,20.96
Reservoir Dogs,word,a*****e,20.98
Reservoir Dogs,word,f**k,21.00
Reservoir Dogs,word,f*****g,21.01
Reservoir Dogs,word,f**k,21.20
Reservoir Dogs,word,f*****g,22.18
Reservoir Dogs,word,f**k,22.21
Reservoir Dogs,word,m**********r,22.46
Reservoir Dogs,word,f**k,22.60
Reservoir Dogs,word,g*****n,22.71
Reservoir Dogs,word,a*s,22.80
Reservoir Dogs,word,f**k,23.00
Reservoir Dogs,word,f*****g,23.20
Reservoir Dogs,word,a******s,23.35
Reservoir Dogs,word,f*****g,24.01
Reservoir Dogs,word,f**k,24.05
Reservoir Dogs,word,f*****g,24.60
Reservoir Dogs,word,f**k,24.66
Reservoir Dogs,word,f*****g,24.76
Reservoir Dogs,word,f*****g,25.13
Reservoir Dogs,word,s**t,25.35
Reservoir Dogs,word,f**k,25.45
Reservoir Dogs,word,f*****g,25.75
Reservoir Dogs,word,b******t,25.76
Reservoir Dogs,word,f*****g,26.01
Reservoir Dogs,word,f*****g,26.06
Reservoir Dogs,word,f*****g,26.16
Reservoir Dogs,word,f*****g,26.26
Reservoir Dogs,word,h**l,27.21
Reservoir Dogs,word,s**t,28.60
Reservoir Dogs,word,f*****g,28.60
Reservoir Dogs,word,f*****g,28.83
Reservoir Dogs,word,s**t,28.83
Reservoir Dogs,word,s**t,29.16
Reservoir Dogs,word,h**l,29.18
Reservoir Dogs,word,f*****g,31.13
Reservoir Dogs,word,f**k,31.50
Reservoir Dogs,word,f*****g,31.60
Reservoir Dogs,word,f**k,31.80
Reservoir Dogs,word,f**k,31.81
Reservoir Dogs,word,f*****g,31.88
Reservoir Dogs,word,h**l,32.11
Reservoir Dogs,word,f*****g,32.43
Reservoir Dogs,word,f**k,32.55
Reservoir Dogs,word,f*****g,32.58
Reservoir Dogs,word,s**t,32.60
Reservoir Dogs,word,f**k,32.63
Reservoir Dogs,word,f*****g,32.70
Reservoir Dogs,word,s**t,32.91
Reservoir Dogs,word,a*****e,33.76
Reservoir Dogs,word,s**t,33.81
Reservoir Dogs,word,f*****g,33.90
Reservoir Dogs,word,f*****g,34.30
Reservoir Dogs,word,f**k,34.38
Reservoir Dogs,word,f*****g,34.46
Reservoir Dogs,word,f*****g,34.56
Reservoir Dogs,word,f*****g,34.60
Reservoir Dogs,word,f**k,34.71
Reservoir Dogs,word,f*****g,34.75
Reservoir Dogs,word,f**k,34.85
Reservoir Dogs,word,a*****e,34.98
Reservoir Dogs,word,a******s,35.48
Reservoir Dogs,word,f**k,35.50
Reservoir Dogs,word,f*****g,35.60
Reservoir Dogs,word,f*****g,35.61
Reservoir Dogs,word,n***** ,35.61
Reservoir Dogs,word,n***** ,35.63
Reservoir Dogs,word,f*****g,35.71
Reservoir Dogs,word,f*****g,35.83
Reservoir Dogs,word,f**k,35.88
Reservoir Dogs,word,a***s,35.95
Reservoir Dogs,word,f**k,36.01
Reservoir Dogs,word,s**t,36.06
Reservoir Dogs,word,f*****g,36.11
Reservoir Dogs,word,f**k,37.41
Reservoir Dogs,word,f*****g,37.48
Reservoir Dogs,word,f**k,37.91
Reservoir Dogs,word,f*****g,39.06
Reservoir Dogs,word,a*****e,39.06
Reservoir Dogs,word,f*****g,39.18
Reservoir Dogs,word,h**l,39.46
Reservoir Dogs,word,h**l,39.60
Reservoir Dogs,word,b***h,39.88
Reservoir Dogs,word,f*****g,40.13
Reservoir Dogs,word,a*s,40.15
Reservoir Dogs,word,a*s,40.30
Reservoir Dogs,word,f****p,40.48
Reservoir Dogs,word,s**t,40.96
Reservoir Dogs,word,f**k,41.25
Reservoir Dogs,word,b*****d,41.30
Reservoir Dogs,word,f**k,41.31
Reservoir Dogs,word,f**k,41.43
Reservoir Dogs,word,f*****g,41.75
Reservoir Dogs,word,a*s,41.76
Reservoir Dogs,word,b***h,41.85
Reservoir Dogs,word,f*****g,41.93
Reservoir Dogs,word,n***** ,41.93
Reservoir Dogs,word,a*s,42.00
Reservoir Dogs,word,f*****g,42.03
Reservoir Dogs,word,b***h,42.11
Reservoir Dogs,word,b***h,42.13
Reservoir Dogs,word,s**t,42.16
Reservoir Dogs,word,f**k,42.55
Reservoir Dogs,word,m**********r,42.56
Reservoir Dogs,word,f****r,42.60
Reservoir Dogs,word,s****y,42.66
Reservoir Dogs,word,a*****d,42.86
Reservoir Dogs,word,f*****g,43.06
Reservoir Dogs,word,f*****g,43.31
Reservoir Dogs,word,s**t,43.35
Reservoir Dogs,word,f**k,42.70
Reservoir Dogs,word,f**k,42.71
Reservoir Dogs,word,s**t,43.86
Reservoir Dogs,word,f*****g,44.00
Reservoir Dogs,word,s**t,44.03
Reservoir Dogs,word,f****d,44.65
Reservoir Dogs,word,f**k,44.90
Reservoir Dogs,word,f*****g,45.26
Reservoir Dogs,word,d**n,45.40
Reservoir Dogs,word,f*****g,46.48
Reservoir Dogs,word,f**k,46.53
Reservoir Dogs,word,f*****g,46.65
Reservoir Dogs,word,f*****g,46.66
Reservoir Dogs,word,f**k,47.50
Reservoir Dogs,word,f*****g,47.51
Reservoir Dogs,word,f*****g,47.55
Reservoir Dogs,word,f*****g,47.70
Reservoir Dogs,word,f*****g,47.71
Reservoir Dogs,word,f*****g,47.73
Reservoir Dogs,word,f*****g,47.75
Reservoir Dogs,word,f*****g,47.80
Reservoir Dogs,word,f*****g,47.88
Reservoir Dogs,word,s**t,47.98
Reservoir Dogs,word,f*****g,48.08
Reservoir Dogs,word,b******t,48.15
Reservoir Dogs,word,f**k,48.16
Reservoir Dogs,word,f*****g,48.25
Reservoir Dogs,word,f*****g,48.26
Reservoir Dogs,word,h**l,48.31
Reservoir Dogs,word,f*****g,48.38
Reservoir Dogs,word,f*****g,48.48
Reservoir Dogs,word,a******s,48.48
Reservoir Dogs,word,a*****e,48.51
Reservoir Dogs,word,f*****g,48.55
Reservoir Dogs,word,f*****g,48.56
Reservoir Dogs,word,f*****g,48.58
Reservoir Dogs,word,f*****g,48.61
Reservoir Dogs,word,f*****g,48.78
Reservoir Dogs,word,f*****g,48.98
Reservoir Dogs,word,f*****g,49.06
Reservoir Dogs,word,f*****g,49.15
Reservoir Dogs,word,b*****d,49.61
Reservoir Dogs,word,f**k,49.68
Reservoir Dogs,word,f*****g,49.70
Reservoir Dogs,word,g*****n,49.75
Reservoir Dogs,word,f*****g,49.80
Reservoir Dogs,word,f*****g,49.90
Reservoir Dogs,word,f*****g,49.98
Reservoir Dogs,word,f*****g,50.51
Reservoir Dogs,word,b*****d,50.68
Reservoir Dogs,word,f*****g,50.76
Reservoir Dogs,word,m**********r,50.91
Reservoir Dogs,word,f*****g,51.08
Reservoir Dogs,word,f*****g,51.36
Reservoir Dogs,word,f*****g,51.51
Reservoir Dogs,word,f**k,51.88
Reservoir Dogs,word,f*****g,51.98
Reservoir Dogs,word,f*****g,53.28
Reservoir Dogs,word,s**t,53.43
Reservoir Dogs,word,b***h,53.93
Reservoir Dogs,word,b******t,54.25
Reservoir Dogs,word,f**k,54.30
Reservoir Dogs,word,f**k,56.73
Reservoir Dogs,death,,59.93
Reservoir Dogs,word,s**t,61.00
Reservoir Dogs,word,s**t,62.15
Reservoir Dogs,word,f**k,62.28
Reservoir Dogs,word,f**k,62.83
Reservoir Dogs,word,f**k,62.91
Reservoir Dogs,word,f*****g,62.95
Reservoir Dogs,word,b*****d,62.95
Reservoir Dogs,word,f**k,63.15
Reservoir Dogs,word,f*****g,63.21
Reservoir Dogs,word,f*****g,63.26
Reservoir Dogs,word,f*****g,63.30
Reservoir Dogs,word,f**k,63.33
Reservoir Dogs,word,f**k,63.35
Reservoir Dogs,word,f*****g,63.38
Reservoir Dogs,word,f*****g,62.41
Reservoir Dogs,word,p***y,63.81
Reservoir Dogs,word,f*****g,63.91
Reservoir Dogs,word,m**********r,64.31
Reservoir Dogs,word,a*s,64.46
Reservoir Dogs,word,g*****n,64.75
Reservoir Dogs,word,f*****g,64.76
Reservoir Dogs,word,m**********r,65.15
Reservoir Dogs,word,a*s,65.65
Reservoir Dogs,word,d****d,65.73
Reservoir Dogs,word,m**********r,65.76
Reservoir Dogs,word,a*s,65.76
Reservoir Dogs,word,f*****g,66.05
Reservoir Dogs,word,f*****g,66.35
Reservoir Dogs,word,f*****g,66.36
Reservoir Dogs,word,f*****g,66.46
Reservoir Dogs,word,f*****g,66.50
Reservoir Dogs,word,a*s,66.50
Reservoir Dogs,word,h**l,66.96
Reservoir Dogs,word,b******t,67.03
Reservoir Dogs,word,f*****g,67.21
Reservoir Dogs,word,f*****g,67.28
Reservoir Dogs,word,s**t,67.30
Reservoir Dogs,word,f*****g,67.48
Reservoir Dogs,word,s**t,67.88
Reservoir Dogs,word,m**********r,68.01
Reservoir Dogs,word,f*****g,68.66
Reservoir Dogs,word,f*****g,69.25
Reservoir Dogs,word,f**k,69.28
Reservoir Dogs,word,s**t,69.30
Reservoir Dogs,word,b***h,69.31
Reservoir Dogs,word,s**t,69.35
Reservoir Dogs,word,a*s,69.46
Reservoir Dogs,word,f*****g,69.48
Reservoir Dogs,word,f*****g,69.51
Reservoir Dogs,word,f*****g,69.53
Reservoir Dogs,word,m**********r,69.61
Reservoir Dogs,word,s**t,69.78
Reservoir Dogs,word,f*****g,69.86
Reservoir Dogs,word,a*s,69.88
Reservoir Dogs,word,f*****g,70.06
Reservoir Dogs,word,f*****g,71.63
Reservoir Dogs,word,f**k,71.95
